English,Chinese
neil,尼尔
leak,泄露
item,物品
catholic,天主教徒
sighing,叹气
retired,退休
kings,国王
inner,内
cents,美分
affect,影响
forbidden,禁止
patch,修补
drops,滴
necessarily,一定
provided,假如
meters,仪表
booked,预订
returns,返回
gloria,格洛里亚
fires,火
humor,幽默
torn,撕裂
e-mail,电子邮件
rocky,岩石
introduced,引入
creative,有创造力的
betray,背叛
soviet,苏联
various,各种各样的
added,添加
discovery,发现
cowboy,牛仔
suspected,怀疑
suggested,建议
delighted,高兴极了
sticking,粘着
dive,潜水
radar,雷达
prosecutor,检察官
amber,琥珀色
vast,广阔的
quinn,奎因
owned,拥有
cookie,曲奇饼
finest,最好
pump,泵
valentine,情人
counter,柜台
sorts,等
coin,硬币
warren,沃伦
slaves,奴隶
marine,海洋
illness,疾病
sack,解雇
bid,出价
require,要求
moscow,莫斯科
largest,最大
washing,洗涤
achieve,达到
causes,原因
k,k
mo,莫
dope,涂料
nest,巢
palm,棕榈
logan,洛根
constant,持续的
b.,b。
boo,嘘
medication,药物
gravity,重力
booze,豪饮
noah,诺亚
evan,埃文
abroad,国外
christine,克里斯汀
rising,上升
analysis,分析
cuts,切割
eats,吃
employee,员工
vodka,伏特加酒
damaged,损坏的
solar,太阳的
height,高度
pops,流行音乐
yards,院子
terrified,害怕
suitcase,手提箱
chemical,化学
preparing,准备
advanced,先进的
fund,基金
wears,穿
web,网络
phase,阶段
prom,舞会
suggesting,建议
fleet,舰队
lame,瘸
irish,爱尔兰人
editor,编辑
october,十月
assumed,假定
whip,鞭子
mel,梅尔
region,地区
amongst,中间
temper,脾气
discussion,讨论
engines,引擎
operate,操作
sunshine,阳光
acted,行动
undercover,秘密
horror,恐怖
tested,测试
smash,粉碎
contrary,相反
roses,玫瑰
poker,扑克
wrapped,包裹
korean,韩国人
graham,格雷厄姆
ivan,伊万
focused,集中
liam,利亚姆
tragic,悲惨
carla,卡拉
demons,恶魔
rounds,回合
entertainment,娱乐
gathered,聚集
uhh,嗯
yells,大喊
lincoln,林肯
crossing,交叉
blanket,毯子
nut,坚果
travis,特拉维斯
pockets,口袋
limited,有限的
paintings,绘画
sober,清醒
caesar,凯撒
intended,故意的
niece,侄女
computers,电脑
tennis,网球
needle,针
chicks,小鸡
traditional,传统的
delicate,精美的
independent,独立的
leslie,莱斯利
lauren,劳伦
grandson,孙子
repair,维修
executive,管理人员
colin,科林
recognized,认可
holmes,福尔摩斯
regarding,关于
weakness,弱点
aliens,外星人
gunshots,枪声
european,欧洲的
method,方法
tool,工具
demands,需要
permit,允许
towel,毛巾
daisy,雏菊
nowadays,如今
spider,蜘蛛
northern,北方
rangers,护林员
zoo,动物园
praying,祈祷
antonio,安东尼奥
passengers,乘客
con,骗子
australia,澳大利亚
technique,技术
cellphone,手机
gently,轻轻地
operations,操作
planes,飞机
bunny,兔子
gunfire,炮火
shining,闪亮的
backwards,向后
skill,技能
uh-,嗯 -
baron,男爵
kidnapping,绑架
iike,艾克
marshal,元帅
petty,小气
sealed,密封
massage,按摩
raising,提高
menu,菜单
diary,日记
fucker,笨蛋
wagon,车皮
audition,试镜
mitch,米奇
mexican,墨西哥
casino,赌场
bacon,熏肉
diego,迭戈
promotion,晋升
click,点击
forgiveness,饶恕
burst,爆裂
permanent,永恒的
interfere,干扰
chanting,诵经
dammit,该死
spencer,斯宾塞
recovered,恢复
registered,挂号的
sunny,阳光明媚
packing,包装
scenes,场景
superman,超人
questioning,询问
unfair,不公平
admitted,承认
ancestors,祖先
completed,完全的
swallow,吞
conduct,执行
prayers,祈祷
sheet,床单
fried,油炸
avenue,大街
poisoned,中毒
reverse,撤销
newspapers,报纸
ford,福特
complaining,抱怨
senses,感官
investment,投资
absurd,荒诞
potato,土豆
understands,理解
grows,成长
inspired,启发
ruby,红宝石
celebrating,庆祝
tag,标签
ram,内存
requires,需要
bonnie,邦妮
bugs,错误
leonard,伦纳德
elliot,艾略特
hooked,迷上了
jill,吉尔
ranch,牧场
safer,更安全
worn,磨损
crashing,崩溃
lands,土地
heather,希瑟
ash,灰
leather,皮革
grounds,理由
assuming,假设
nails,指甲
dana,达娜
conspiracy,阴谋
thanksgiving,感恩
pierre,皮埃尔
guardian,监护人
rumors,谣言
yen,日元
megan,梅根
ashes,骨灰
terror,恐怖
misunderstanding,误解
tire,胎
boats,船
parade,游行
halt,停
immunity,免疫
adults,成年人
steam,蒸汽
kang,炕
closely,密切
pearl,珍珠
soccer,足球
adrian,阿德里安
priority,优先事项
shouts,大喊
donald,唐纳德
happier,更快乐
khan,可汗
struggling,挣扎
root,根
larger,更大
november,十一月
boot,引导
conflict,冲突
laughed,笑了
debbie,黛比
cherry,樱桃
honking,鸣叫
concerns,关注
celebration,庆典
sore,疮
unconscious,无意识
cattle,牛
breasts,乳房
fairly,相当
fee,费用
recognise,认出
wade,韦德
radiation,辐射
holidays,假期
raining,下雨
forgetting,忘记
lungs,肺
register,登记
shadows,阴影
specifically,具体来说
sarge,萨格
ideal,理想的
turtle,龟
spoil,变质
deserved,应得的
ronnie,罗尼
gina,吉娜
candidate,候选人
lance,槊
types,类型
bloke,家伙
explode,爆炸
immediate,即时
belonged,属于
identified,确定
hunger,饥饿
closest,最接近
combination,组合
nanny,保姆
seth,塞思
gabriel,加百列
develop,发展
detectives,侦探
severe,严重
organized,有组织
franklin,富兰克林
gut,肠
splendid,灿烂
dismissed,被解雇
pm,下午
yang,杨
halloween,万圣节
ellie,艾莉
vulnerable,易受伤害的
continued,继续
vital,必不可少的
comrades,同志
bureau,局
drawer,抽屉
harper,哈珀
retreat,撤退
carson,卡森
benny,本尼
pillow,枕头
troy,特洛伊
ace,高手
cart,大车
nap,小憩
chan,陈
ham,火腿
announce,宣布
borrowed,借
parked,停放
galaxy,星系
voted,投票
muffled,闷闷不乐
sebastian,塞巴斯蒂安
mmm-hmm,嗯，嗯
jewelry,珠宝
luggage,行李
groom,马夫
oops,糟糕
lighter,打火机
masters,大师
alliance,联盟
buddies,伙伴
clothing,衣服
denied,否认
drown,淹
alike,一样
excellency,阁下
relative,相对的
photographs,照片
burger,汉堡包
dough,面团
alicia,艾丽西亚
wreck,破坏
approve,批准
produced,生产
christina,克里斯蒂娜
physically,身体上
stations,车站
eli,埃利
samantha,萨曼莎
spiritual,精神
sire,父亲
roaring,咆哮
stab,刺
inch,英寸
servants,仆人
limits,极限
unexpected,意外
arrival,到达
whimpering,抱怨
basket,篮子
sheets,床单
scandal,丑闻
stink,臭
homer,荷马
tara,塔拉
christopher,克里斯托弗
toes,脚趾
shield,盾
shooter,射手
instant,立即的
objects,对象
rehearsal,排演
disturbing,令人不安的
directed,指导
scan,扫描
electronic,电子的
republic,共和国
overnight,过夜
counsel,法律顾问
sirens,警报器
dorothy,多萝西
bait,饵
dignity,尊严
explains,解释
lean,倾斜
heroin,海洛因
tracy,特雷西
rex,雷克斯
barney,巴尼
gossip,八卦
humble,谦逊的
economy,经济
impress,印象深刻
clara,克拉拉
tissue,组织
threaten,威胁
et,等
bump,撞
supreme,最高
bingo,答对了
mitchell,米切尔
excitement,激动
mankind,人类
document,文档
broad,广阔
vietnam,越南
vessel,血管
lit,点燃
dale,戴尔
killers,杀手
connor,康纳
mario,马里奥
foul,犯规
stare,盯
deaths,死亡人数
hut,小屋
elements,元素
coma,昏迷
laying,铺设
coffin,棺材
paula,宝拉
cocaine,可卡因
puppy,小狗
louder,大声
handled,处理
announcement,公告
oath,誓言
mob,暴民
cotton,棉布
deposit,订金
taxes,税
injuries,受伤
jen,詹
autopsy,尸检
advise,建议
gig,演出
lecture,演讲
posted,发表
skinny,瘦骨嶙峋的
include,包括
revealed,揭示
infected,已感染
relieved,松了一口气
assistance,协助
solo,独奏
determine,决定
terrorists,恐怖分子
elsewhere,别处
lamp,灯
practical,实际的
marked,标记
adorable,可爱
rubber,橡皮
purple,紫色的
operating,操作
suite,套房
apologies,道歉
personnel,人员
beam,光束
poet,诗人
samples,样品
arrow,箭
counselor,顾问
carpet,地毯
allen,艾伦
audrey,奥黛丽
spotted,斑
floating,漂浮的
corrected,纠正
located,位于
journalist,记者
insisted,坚持
operator,操作员
singh,辛格
fooled,愚弄了
arrives,到达
leon,莱昂
walt,沃尔特
eastern,东
ay,是的
shave,刮胡子
remaining,其余的
toss,折腾
anderson,安德森
lip,唇
acid,酸
nora,诺拉
december,十二月
anonymous,匿名的
inn,客栈
planted,种植
oldest,最老的
breast,胸部
sixth,第六
error,错误
reporting,报告
egypt,埃及
islands,岛屿
brother-in-law,小舅子
jules,朱尔斯
roommate,室友
sings,唱歌
scum,浮渣
visitor,游客
giggling,咯咯笑
described,描述
inches,英寸
commitment,承诺
hercules,大力神
react,反应
cows,牛
protest,反对
misery,苦难
theft,盗窃
darn,该死
harsh,残酷的
andrea,安德里亚
communicate,交流
fathers,父亲
faithful,可信
hector,赫克托
uh-uh,嗯
flame,火焰
medal,勋章
silk,丝绸
photographer,摄影师
trevor,特雷弗
cemetery,公墓
rear,后部
freddy,弗雷迪
banana,香蕉
allison,艾莉森
emotion,情感
chap,第一章
dated,过时的
excuses,借口
shitty,卑鄙
bin,垃圾桶
jew,犹
gum,胶
crushed,碎
efforts,努力
content,内容
corporal,下士
realised,实现
del,del
rap,说唱
hopeless,绝望
debate,辩论
era,时代
luckily,幸运的是
ton,吨
liquid,液体
swell,胀
peggy,佩吉
feast,盛宴
murphy,墨菲
attracted,吸引了
application,应用
profession,职业
bench,长椅
vanessa,凡妮莎
ahem,哎呀
symptoms,症状
scout,侦察
crashed,坠毁
keen,敏锐的
aircraft,飞机
formed,形成
hon,荣誉
aggressive,挑衅的
pale,苍白
significant,重要的
duncan,邓肯
clubs,俱乐部
visual,视觉的
embassy,大使馆
defence,防御
cabinet,内阁
display,展示
fame,名望
gibbs,吉布斯
drowned,溺水
wolves,狼
filming,拍摄
dunno,不知道
cursed,诅咒
twin,双胞胎
sorrow,悲哀
vault,金库
defeated,被击败
quote,引用
penalty,惩罚
bargain,便宜货
pepper,胡椒
speaker,扬声器
compare,比较
satan,撒但
helmet,头盔
scar,瘢痕
copies,副本
fuss,大惊小怪
envelope,信封
perry,佩里
stinks,臭
african,非洲人
arrangements,安排
wished,希望
honored,荣幸
believing,相信
discussed,讨论
assigned,分配
rosa,罗莎
oven,烤箱
jenna,珍娜
attacking,进攻
tin,锡
sonic,声音
collar,衣领
mere,仅仅
romeo,罗密欧
belief,信仰
storage,贮存
rusty,生锈
climbing,攀登
melissa,梅利莎
fears,恐惧
sum,和
dedicated,投入的
ladder,梯子
alternative,选择
raid,袭击
dining,用餐
ms,多发性硬化症
corporate,公司的
folk,民间
jon,乔恩
replaced,更换
bailey,贝利
un,联合国
heels,高跟鞋
duties,职责
smarter,更聪明
existed,存在
surprising,奇怪
chess,棋
requested,要求
cruise,巡航
primary,基本的
rhythm,韵律
drum,鼓
models,楷模
motorcycle,摩托车
adopted,采用
barrel,桶
cargo,货物
planets,行星
shove,推
wha,世界卫生大会
surprises,惊喜
rosie,罗西
dings,叮当
trailer,预告片
cannon,大炮
tables,表
arse,屁股
ally,盟友
lawrence,劳伦斯
wee,we
tapes,磁带
dull,乏味的
teenage,青少年
kent,肯特
cooperate,合作
risks,风险
dug,挖
worthless,毫无价值
arriving,到达
kindness,善良
ties,关系
items,项目
and-,和-
grip,紧握
relations,关系
rumor,谣言
skirt,裙子
frog,青蛙
paige,佩奇
lloyd,劳埃德
claimed,声称
perfume,香水
instrumental,乐器
flames,火焰
association,协会
loses,丢失
january,一月
spike,长钉
israel,以色列
eleven,十一
gallery,画廊
ginger,姜
activities,活动
iraq,伊拉克
boarding,登机
fist,拳头
stuffed,塞满
improve,提升
creation,创建
connie,康妮
infection,感染
strikes,罢工
wiped,擦拭
tension,紧张
whistles,哨子
kindly,亲切地
certificate,证书
curtis,柯蒂斯
bold,大胆的
threats,威胁
claudia,克劳迪娅
sid,席德
twisted,扭曲
suspended,暂停
affected,做作的
envy,嫉妒
whale,鲸
dial,拨号
cameron,卡梅伦
martial,武术
controlled,受控
nigga,黑鬼
coal,煤炭
upside,上升
imperial,帝国
pam,帕姆
paranoid,偏执
signing,签名
congress,国会
villa,别墅
candles,蜡烛
filling,填充
becky,贝基
comic,漫画
faint,头晕的
recovery,恢复
volunteer,志愿者
tech,技术
bleed,流血
positions,位置
cindy,辛迪
narrow,狭窄的
forbid,禁止
stuart,斯图尔特
perspective,看法
faced,面对
neat,整洁的
pierce,刺穿
observe,观察
cycle,循环
psychic,精神
handling,处理
goose,鹅
accidentally,偶然
conclusion,结论
designer,设计师
sits,坐着
importance,重要性
spots,斑点
francs,法郎
sweep,扫
destroying,破坏
communist,共产
blackmail,勒索
pacific,太平洋
risky,有风险
glorious,辉煌
filed,提起
hatred,仇恨
cam,凸轮
deals,交易
fooling,愚弄
persons,人
scotch,苏格兰人
executed,执行
brakes,刹车
blank,空白的
tender,投标
kurt,库尔特
turner,车工
tub,浴缸
sucker,吸盘
slight,轻微
addition,添加
campus,校园
ritual,仪式
prey,猎物
so-called,所谓的
graduate,毕业
anyways,无论如何
fry,炒
genuine,真的
ned,内德
judging,评判
doubts,怀疑
warden,监狱长
ceiling,天花板
practicing,练习
somewhat,有些
established,已确立的
attempted,尝试
zombie,僵尸
generations,几代人
yöu,你
gathering,搜集
warriors,战士
mick,米克
electrical,电气
collins,柯林斯
sobs,抽泣
couples,夫妻
depend,依靠
institute,研究所
miranda,米兰达
principle,原则
fixing,定影
therapist,治疗师
compete,竞争
compliment,赞扬
worship,崇拜
residence,住宅
democracy,民主
joel,乔尔
published,出版
myth,神话
helpless,无助
screwing,拧紧
kennedy,肯尼迪
execution,执行
appetite,食欲
formal,正式的
strictly,严格
sucked,吮吸
tanks,坦克
chickens,鸡
gwen,格温
technical,技术的
stella,斯特拉
rod,杆
meets,见面
shepherd,牧羊人
brazil,巴西
brutal,野蛮
alison,艾莉森
vain,徒劳
deer,鹿
brooklyn,布鲁克林
dresses,连衣裙
retire,退休
overcome,克服
inspiration,灵感
benjamin,本杰明
nicky,尼基
thrilled,激动
tae,泰
suggestion,建议
dummy,假的
sailor,水手
destination,目的地
bass,低音
picnic,野餐
assholes,混蛋
idol,偶像
trucks,卡车
